,praf,pmek,plcg,PIP2,PIP3,p44/42,pakts473,PKA,PKC,P38,pjnk
1029,37.5,22.1,17.3,14.6,12.2,18.3,27.9,583.0,16.7,41.8,59.4
1030,79.9,66.7,22.1,24.1,3.92,15.5,27.9,542.0,13.1,36.8,33.1
1031,72.3,39.6,18.6,7.04,14.5,39.6,47.4,389.0,15.4,31.1,33.7
1032,101.0,67.3,22.3,68.5,5.67,30.8,39.6,594.0,10.4,27.1,13.9
1033,6.67,7.99,48.3,308.0,48.7,6.98,34.3,470.0,11.5,33.4,28.6
1034,42.6,25.5,20.2,17.5,10.1,7.17,20.9,474.0,11.4,24.6,23.9
1035,57.3,26.9,84.3,461.0,75.7,12.2,29.2,567.0,11.7,13.9,23.5
1036,65.5,28.6,18.1,93.9,7.37,22.7,31.1,562.0,91.4,125.0,15.7
1037,93.9,50.0,14.6,93.9,14.5,47.0,62.6,685.0,9.65,21.5,29.7
1038,59.4,36.8,31.6,67.9,47.0,11.3,21.1,698.0,12.9,35.9,40.0
1039,31.6,22.9,26.4,18.1,7.64,11.5,33.7,632.0,14.2,20.9,26.2
1040,30.5,21.7,16.0,255.0,6.73,8.51,21.7,414.0,49.6,97.3,193.0
1041,41.8,26.4,48.3,302.0,40.0,35.9,62.1,1334.0,10.0,32.5,33.1
1042,178.0,125.0,11.7,2.59,13.9,6.38,16.4,403.0,12.4,44.9,25.3
1043,57.8,50.0,13.3,145.0,13.9,14.9,10.2,820.0,12.7,16.7,18.8
1044,18.3,16.4,28.1,43.7,10.3,43.3,63.8,710.0,5.83,21.3,26.2
1045,131.0,119.0,78.4,250.0,48.7,90.6,126.0,466.0,3.59,7.99,1.08
1046,54.7,38.9,16.8,21.7,24.1,26.7,43.7,882.0,36.8,58.3,18.8
1047,67.3,31.3,1.0,7.5,389.0,21.3,25.3,621.0,7.04,22.1,22.1
1048,28.6,18.1,31.1,36.2,10.9,15.7,36.5,1000.0,3.05,31.3,27.4
1049,61.5,57.3,33.1,16.4,10.2,11.9,43.3,229.0,5.73,16.0,16.4
1050,40.3,23.3,31.9,39.2,2.57,6.79,13.7,692.0,11.3,28.1,29.7
1051,36.2,18.1,46.6,528.0,49.6,16.1,40.3,965.0,14.6,33.7,15.7
1052,38.9,16.4,24.4,195.0,39.6,11.0,20.4,496.0,9.56,30.8,17.5
1053,41.0,30.8,20.9,25.0,1.0,12.4,20.2,685.0,10.8,35.2,30.8
1054,91.4,53.8,17.5,18.8,5.57,13.0,22.3,496.0,12.9,27.9,4.14
1055,188.0,117.0,20.5,16.3,1.0,4.91,5.47,973.0,3.31,10.3,11.1
1056,184.0,85.8,8.98,213.0,6.79,20.2,24.1,730.0,13.0,33.4,28.4
1057,37.5,17.6,6.61,181.0,13.9,23.9,39.2,644.0,13.2,33.7,56.2
1058,50.0,33.1,19.6,22.9,5.88,5.73,20.0,698.0,6.61,17.9,30.8
1059,139.0,82.0,20.7,24.8,4.66,36.5,41.4,483.0,4.49,59.4,3.82
1060,101.0,57.8,17.9,62.1,11.7,20.7,42.2,470.0,10.6,37.5,21.7
1061,53.3,40.3,14.3,106.0,18.3,32.5,62.6,898.0,31.3,60.4,88.2
1062,58.3,44.5,21.9,17.3,5.67,37.9,89.0,1946.0,12.1,31.1,37.5
1063,175.0,126.0,14.1,137.0,5.09,102.0,160.0,2788.0,15.4,30.0,50.0
1064,34.6,25.5,32.2,35.9,10.9,2.29,7.37,125.0,13.9,25.7,29.4
1065,11.8,17.0,49.1,410.0,54.2,15.7,36.2,1219.0,10.1,22.1,19.6
1066,38.9,32.8,129.0,308.0,73.0,2.48,12.6,906.0,12.6,29.4,16.7
1067,34.3,26.9,54.2,79.1,32.8,9.14,13.5,410.0,14.1,30.5,20.9
1068,38.9,5.38,22.3,87.4,22.1,20.5,49.6,1046.0,5.38,5.42,4.87
1069,37.5,15.0,40.3,44.5,14.5,9.22,14.9,610.0,1.22,5.52,11.4
1070,33.7,21.5,18.9,217.0,9.22,14.1,18.6,542.0,10.4,19.3,40.7
1071,22.1,23.3,30.0,22.7,6.44,19.6,35.5,939.0,15.1,26.9,23.9
1072,35.9,25.0,93.9,474.0,77.7,97.3,158.0,1747.0,1.12,3.43,22.9
1073,37.9,18.1,14.9,153.0,5.28,10.2,26.7,389.0,48.3,118.0,138.0
1074,21.1,15.0,24.8,25.7,5.38,9.65,36.2,737.0,11.2,29.7,24.4
1075,31.1,24.4,19.5,248.0,29.4,21.7,34.6,505.0,13.6,22.9,19.3
1076,57.8,42.9,25.7,35.9,2.86,8.28,11.3,259.0,5.42,55.2,5.57
1077,56.2,29.2,47.4,262.0,36.5,1.51,13.5,667.0,8.58,11.9,4.1
1078,7.7,10.9,13.1,89.8,11.4,9.31,20.0,410.0,9.31,21.5,25.0
1079,112.0,76.4,44.1,487.0,67.3,15.1,21.1,505.0,8.82,13.9,7.99
1080,31.1,26.7,33.7,198.0,32.2,8.66,18.3,1197.0,5.33,8.98,9.06
1081,71.0,42.9,17.9,44.1,8.74,8.35,12.7,1094.0,10.6,44.1,44.5
1082,52.3,32.8,23.5,217.0,14.6,24.1,35.5,939.0,37.5,79.1,133.0
1083,149.0,96.5,59.9,302.0,40.0,4.41,16.4,137.0,6.38,20.7,16.5
1084,65.5,32.8,13.3,122.0,16.7,7.1,13.1,655.0,12.5,22.9,43.3
1085,44.5,37.2,18.4,250.0,28.1,20.5,21.3,533.0,3.55,16.8,28.1
1086,126.0,89.0,37.2,300.0,33.7,26.7,41.0,723.0,49.6,99.1,154.0
1087,59.4,36.8,10.2,157.0,14.6,11.7,24.4,349.0,12.1,20.2,21.7
1088,32.8,32.5,28.1,235.0,19.8,8.51,18.4,698.0,9.47,30.8,25.5
1089,22.1,18.8,18.1,27.9,10.6,14.1,23.7,487.0,13.5,36.2,33.1
1090,30.2,22.9,21.1,175.0,21.1,23.1,76.4,1263.0,7.84,22.3,18.8
1091,69.8,44.5,17.6,92.2,8.43,9.73,20.2,661.0,40.3,70.4,67.3
1092,40.7,22.1,35.5,200.0,42.9,7.17,11.0,533.0,13.7,28.4,27.6
1093,50.5,32.5,22.9,26.7,5.57,3.4,14.5,235.0,5.19,13.7,11.8
1094,106.0,85.8,19.5,86.6,10.0,49.1,67.9,483.0,7.1,25.5,36.2
1095,142.0,90.6,17.3,66.1,18.4,15.3,40.3,730.0,5.62,23.1,21.9
1096,184.0,132.0,21.1,21.1,10.4,5.88,40.7,1252.0,46.1,115.0,145.0
1097,50.0,31.6,15.5,61.0,11.7,16.3,34.9,874.0,40.7,107.0,106.0
1098,138.0,109.0,65.5,359.0,60.4,8.2,14.3,533.0,12.4,28.6,8.82
1099,55.2,32.2,13.6,142.0,10.2,9.47,25.5,346.0,7.7,23.5,28.4
1100,42.6,18.1,17.0,15.5,1.21,13.9,15.3,487.0,9.73,9.39,12.9
1101,78.4,74.3,25.9,110.0,42.2,17.2,42.9,626.0,10.4,18.6,35.2
1102,37.5,25.9,24.1,27.6,3.85,17.0,47.8,692.0,38.5,64.9,57.3
1103,21.1,6.55,24.6,28.1,3.68,15.5,41.0,882.0,7.7,10.8,14.7
1104,76.4,43.7,8.82,235.0,22.7,23.1,40.3,583.0,25.5,44.1,51.9
1105,61.5,64.4,16.1,163.0,2.71,25.5,34.0,487.0,7.7,23.9,29.4
1106,66.7,44.9,22.9,68.5,25.0,28.4,56.2,453.0,9.31,18.8,24.6
1107,56.7,25.9,21.3,21.3,16.1,22.1,32.5,922.0,9.06,23.9,27.1
1108,85.8,21.9,18.6,25.3,4.61,13.6,26.7,422.0,11.0,21.5,22.1
1109,39.6,28.1,20.9,18.8,15.3,24.1,39.2,604.0,13.6,31.3,39.2
1110,31.1,23.7,20.7,176.0,14.7,5.05,20.7,271.0,13.5,30.8,36.5
1111,29.4,20.0,16.5,46.1,5.83,14.7,43.3,461.0,28.6,47.4,3.13
1112,18.4,19.1,44.1,231.0,62.6,59.4,93.1,3619.0,24.4,56.7,77.0
1113,33.1,14.1,24.8,23.3,4.45,7.91,14.5,1155.0,4.14,12.6,4.29
1114,52.3,33.1,54.7,334.0,47.0,87.4,146.0,2864.0,16.7,25.5,33.1
1115,39.6,25.3,12.1,88.2,3.08,26.2,48.7,1395.0,31.1,60.4,74.3
1116,39.6,20.2,93.1,505.0,58.8,5.52,30.8,1843.0,7.1,18.4,18.8
1117,35.9,13.5,12.0,186.0,21.5,15.8,35.5,991.0,13.1,16.4,42.9
1118,58.8,40.0,22.5,63.8,23.1,11.3,15.0,528.0,67.9,97.3,3.89
1119,95.6,59.4,49.1,437.0,50.0,13.6,24.6,588.0,49.1,115.0,164.0
1120,32.2,25.9,28.6,204.0,20.5,45.3,74.3,2148.0,6.38,26.4,27.1
1121,33.1,21.7,13.8,103.0,10.5,12.9,22.7,509.0,9.14,22.7,29.7
1122,36.8,83.5,24.6,115.0,12.1,37.2,47.0,813.0,12.6,21.5,29.7
1123,47.0,26.9,27.4,19.5,8.35,7.37,18.4,649.0,11.3,30.8,36.8
1124,34.6,30.0,18.3,109.0,9.82,112.0,189.0,2525.0,10.3,20.9,22.9
1125,38.5,23.5,5.42,4.83,12.6,37.5,55.2,599.0,36.8,81.3,110.0
1126,204.0,130.0,23.7,21.5,4.0,15.5,34.6,737.0,12.9,15.1,32.5
1127,2.37,2.29,78.4,379.0,57.8,9.65,29.7,478.0,15.5,17.8,44.5
1128,26.2,39.2,24.8,44.9,16.3,50.0,90.6,1407.0,31.9,62.1,74.3
1129,27.9,17.9,45.7,141.0,26.2,19.6,34.9,947.0,15.0,22.3,29.2
1130,96.5,62.6,106.0,359.0,65.5,11.1,24.6,750.0,6.79,40.7,34.9
1131,191.0,121.0,15.8,106.0,11.0,12.9,22.5,638.0,8.98,18.9,21.5
1132,31.3,17.8,24.1,15.4,10.1,22.5,39.2,552.0,31.1,97.3,207.0
1133,43.7,25.7,9.91,113.0,9.06,40.0,58.8,483.0,17.8,47.0,88.2
1134,35.9,25.7,49.6,362.0,46.1,35.9,55.7,1877.0,9.39,21.9,27.6
1135,36.5,28.4,16.1,106.0,4.41,11.7,28.6,604.0,76.4,163.0,198.0
1136,163.0,94.7,17.5,23.9,6.92,13.8,46.1,400.0,8.13,11.8,17.3
1137,25.5,22.7,44.9,248.0,223.0,44.1,89.0,3078.0,35.5,70.4,103.0
1138,34.9,24.6,29.4,41.4,13.8,20.7,56.7,478.0,8.9,19.1,13.7
1139,30.2,16.7,18.8,62.1,14.1,12.7,32.2,717.0,4.83,26.2,36.8
1140,229.0,165.0,21.3,25.5,1.09,59.4,129.0,2436.0,9.91,20.0,15.5
1141,43.7,27.4,78.4,385.0,72.3,45.7,80.6,1611.0,9.14,16.5,13.8
1142,133.0,95.6,18.4,57.3,1.88,12.4,35.9,562.0,18.3,41.4,46.1
1143,23.3,30.2,31.3,202.0,43.3,58.3,104.0,1670.0,19.8,42.6,109.0
1144,33.4,21.5,23.7,32.2,4.57,11.7,34.6,359.0,14.1,26.9,34.6
1145,49.1,41.4,17.8,122.0,18.3,10.1,10.2,965.0,13.0,34.0,27.9
1146,37.5,22.3,24.4,67.3,26.7,9.65,16.5,300.0,8.9,13.5,9.56
1147,30.0,15.5,15.3,56.2,12.3,37.9,47.8,604.0,6.04,24.1,10.2
1148,38.5,32.8,11.7,7.5,11.4,61.5,154.0,3078.0,14.1,21.5,5.62
1149,36.8,25.3,41.0,146.0,54.7,10.2,25.7,1382.0,14.1,34.6,27.6
1150,31.9,15.3,19.5,15.8,5.09,16.5,42.2,1700.0,63.2,98.2,34.9
1151,189.0,121.0,21.3,27.9,14.6,29.7,44.9,661.0,2.13,67.9,5.88
1152,28.4,17.3,20.0,101.0,13.7,6.15,8.9,239.0,10.0,20.4,20.9
1153,170.0,103.0,15.5,32.5,3.02,39.2,59.9,2763.0,5.42,23.1,27.1
1154,37.9,21.9,52.3,322.0,39.6,22.7,41.0,483.0,8.74,17.8,30.0
1155,31.9,21.1,25.3,26.9,11.5,2.21,9.56,118.0,9.65,22.3,21.3
1156,47.8,31.6,24.6,98.2,8.9,42.9,110.0,1512.0,9.22,29.4,49.1
1157,27.9,20.9,39.2,103.0,44.9,33.1,62.6,764.0,6.73,23.5,25.3
1158,28.6,15.8,17.9,61.5,11.3,12.4,17.5,704.0,3.13,20.2,20.5
1159,132.0,130.0,56.7,237.0,52.8,23.1,36.2,483.0,9.22,27.4,35.2
1160,33.4,23.5,111.0,433.0,136.0,7.99,16.7,410.0,56.7,118.0,142.0
1161,85.8,47.0,25.7,89.0,8.9,67.9,108.0,1486.0,45.7,123.0,84.3
1162,39.6,27.9,14.2,80.6,10.7,17.9,30.0,547.0,31.3,66.7,112.0
1163,35.2,22.9,13.9,102.0,20.7,31.1,64.4,1715.0,8.66,30.5,22.5
1164,76.4,47.0,24.4,19.1,5.23,11.9,27.6,538.0,11.7,23.5,20.7
1165,34.3,38.9,22.1,30.0,7.17,10.6,19.1,538.0,17.0,46.1,59.4
1166,50.9,16.8,16.3,331.0,52.3,15.5,32.8,750.0,10.0,18.3,25.9
1167,35.9,22.5,16.5,15.0,7.1,5.14,10.3,661.0,20.9,51.4,72.3
1168,32.2,24.1,21.5,13.9,5.78,46.1,85.8,1322.0,2.37,40.3,26.7
1169,36.5,36.8,32.5,36.8,11.4,25.3,32.2,509.0,4.96,20.0,25.3
1170,57.8,37.2,5.38,12.1,4.7,16.7,38.2,991.0,11.9,31.3,31.1
1171,49.6,35.5,16.8,200.0,42.6,34.0,51.4,552.0,16.1,22.3,34.3
1172,27.9,17.6,16.8,105.0,22.7,13.0,32.5,2035.0,10.6,29.4,28.4
1173,53.8,27.1,30.2,13.5,1.3,93.9,170.0,2308.0,13.5,26.4,46.6
1174,30.2,20.7,17.2,44.5,2.04,25.0,43.7,835.0,10.6,23.5,8.66
1175,35.5,22.1,23.5,131.0,7.1,16.4,32.2,1670.0,12.1,30.5,44.1
1176,40.7,25.0,14.3,167.0,26.2,10.5,17.8,914.0,8.51,30.2,30.8
1177,43.7,22.1,21.1,125.0,16.1,16.3,16.4,514.0,18.1,32.5,44.5
1178,127.0,132.0,16.7,233.0,30.8,14.5,39.2,644.0,3.96,20.5,8.9
1179,89.8,49.6,12.3,163.0,15.8,9.73,18.1,784.0,20.9,69.8,68.5
1180,23.1,21.7,25.3,17.3,11.3,14.3,30.0,835.0,9.82,25.3,14.2
1181,36.8,17.6,9.47,161.0,25.3,52.8,92.2,2072.0,8.13,10.3,16.1
1182,30.5,26.7,36.5,34.9,13.1,50.0,105.0,2308.0,41.0,89.0,112.0
1183,59.9,46.1,25.0,35.5,8.74,43.7,91.4,1778.0,41.4,97.3,145.0
1184,23.7,40.0,10.2,122.0,1.76,13.0,21.7,858.0,34.6,77.7,98.2
1185,49.1,32.2,17.0,157.0,20.5,6.26,12.7,757.0,11.5,17.5,20.7
1186,35.9,25.7,21.7,28.4,13.1,16.3,28.6,692.0,56.7,85.1,27.1
1187,28.4,21.7,19.3,168.0,17.2,26.2,95.6,2969.0,11.2,38.5,58.8
1188,89.0,51.9,17.5,21.1,7.5,5.78,10.6,973.0,15.7,79.9,27.4
1189,27.1,30.8,23.1,16.5,4.33,13.3,39.6,982.0,12.5,25.7,42.6
1190,172.0,110.0,11.0,221.0,23.9,63.8,118.0,3134.0,9.65,19.8,26.4
1191,68.5,47.0,30.0,28.1,11.8,20.2,28.1,562.0,11.1,35.9,1.0
1192,22.1,19.8,19.8,157.0,13.0,28.1,34.6,538.0,7.64,25.0,29.2
1193,47.4,36.5,9.22,12.9,2.13,19.8,38.9,874.0,9.31,13.8,15.7
1194,57.3,46.6,13.3,75.7,10.0,10.1,28.1,449.0,10.8,20.0,17.5
1195,36.5,16.4,18.6,26.2,5.94,13.6,21.9,1762.0,15.1,37.5,11.0
1196,34.0,12.0,33.4,255.0,35.9,17.6,32.8,644.0,7.64,46.6,15.7
1197,36.8,13.3,14.6,24.8,9.73,70.4,118.0,1009.0,5.99,7.91,10.5
1198,42.6,26.2,30.0,21.1,7.3,9.91,35.9,403.0,8.28,24.1,22.9
1199,28.1,16.7,35.2,49.1,18.3,23.7,36.8,514.0,10.3,38.5,60.4
1200,142.0,76.4,18.6,22.7,2.84,32.5,55.2,890.0,20.2,41.0,43.7
1201,36.2,34.0,36.8,42.9,24.1,36.8,45.7,638.0,6.79,19.5,26.9
1202,33.1,29.4,22.1,42.2,2.84,23.1,33.1,1055.0,9.65,47.0,42.2
1203,215.0,109.0,13.9,42.9,4.18,29.4,60.4,3191.0,8.98,20.5,31.6
1204,115.0,80.6,22.3,27.4,2.25,20.7,31.6,567.0,10.4,25.3,29.7
1205,97.3,63.2,21.5,21.1,2.76,27.1,47.0,784.0,7.99,46.1,18.9
1206,129.0,93.9,23.7,16.0,9.22,7.91,38.2,403.0,1.91,6.04,1.13
1207,67.3,41.4,40.7,66.1,20.5,82.0,131.0,2017.0,10.8,16.3,27.6
1208,46.6,29.2,17.5,58.3,14.9,19.8,37.9,947.0,5.83,17.6,25.7
1209,58.3,40.7,16.5,150.0,12.5,14.9,35.2,914.0,3.85,13.9,28.4
1210,52.8,43.3,30.8,21.9,2.71,37.9,56.7,1554.0,18.4,32.8,35.2
1211,37.5,29.4,27.6,45.3,23.5,43.3,60.4,692.0,7.57,24.8,37.2
1212,165.0,98.2,23.7,17.3,13.2,13.1,23.9,737.0,13.2,21.5,23.1
1213,80.6,49.1,17.8,235.0,29.7,4.83,18.9,322.0,14.7,24.1,52.3
1214,36.2,18.6,19.1,14.1,16.0,19.1,30.5,661.0,13.3,19.1,37.2
1215,22.9,26.2,20.0,207.0,17.2,19.6,35.5,791.0,12.1,16.3,36.8
1216,35.2,34.9,20.7,204.0,18.6,18.3,29.4,588.0,13.3,22.3,36.8
1217,34.9,22.1,26.7,43.3,6.67,27.4,26.7,491.0,5.09,5.73,22.1
1218,178.0,100.0,27.4,300.0,20.5,34.3,67.3,1794.0,8.66,8.51,16.4
1219,50.5,30.2,19.3,11.0,6.1,17.3,28.9,632.0,23.7,63.8,59.9
1220,64.9,51.9,17.0,135.0,16.7,15.0,23.9,764.0,7.57,17.0,26.9
1221,54.7,37.2,20.0,16.1,9.73,35.2,53.8,552.0,14.5,31.1,5.14
1222,30.5,21.7,21.5,95.6,4.33,16.7,28.1,947.0,6.55,22.9,20.4
1223,51.4,32.8,32.8,23.9,21.1,13.6,23.7,843.0,9.56,21.7,21.9
1224,69.2,40.3,20.2,62.6,19.5,2.15,7.37,21.3,14.6,42.2,38.2
1225,36.8,22.7,28.1,23.1,4.78,20.7,32.8,433.0,42.2,104.0,95.6
1226,47.0,37.2,12.6,35.2,3.08,12.1,24.1,673.0,2.29,23.7,17.5
1227,37.2,29.2,35.5,29.7,19.6,56.7,82.0,1827.0,1.35,10.3,24.4
1228,50.5,29.2,15.0,143.0,7.91,17.9,32.5,470.0,6.85,24.4,15.7
1229,15.3,30.5,19.5,154.0,10.6,30.0,47.4,594.0,7.91,36.8,43.3
1230,38.2,21.9,36.5,382.0,44.5,17.0,39.2,500.0,11.1,24.1,32.5
1231,64.4,35.9,18.1,20.5,6.49,26.2,60.4,1640.0,20.4,42.6,42.2
1232,172.0,95.6,15.5,40.7,11.1,3.28,12.3,737.0,8.2,21.5,18.9
1233,35.5,28.1,17.8,20.5,11.2,50.9,89.0,890.0,6.15,7.23,14.9
1234,40.3,21.5,51.4,223.0,31.6,15.8,41.4,610.0,6.15,20.2,20.9
1235,22.9,19.3,13.9,16.7,7.77,111.0,172.0,2054.0,9.31,20.5,22.5
1236,53.8,49.6,25.5,20.2,6.32,6.15,13.0,939.0,24.6,45.3,68.5
1237,147.0,89.0,33.7,269.0,23.3,8.98,22.7,1000.0,11.1,20.0,34.9
1238,95.6,64.9,30.8,198.0,38.2,63.2,127.0,2308.0,14.2,25.5,52.3
1239,75.7,63.8,55.7,311.0,62.1,37.2,63.8,1685.0,13.0,26.2,38.2
1240,79.1,52.3,12.9,138.0,12.1,172.0,453.0,4826.0,7.64,28.9,28.4
1241,42.9,30.8,23.1,18.6,1.86,4.53,17.8,1065.0,5.78,19.1,12.3
1242,157.0,93.9,16.5,16.4,1.68,18.4,35.9,649.0,8.9,26.7,21.1
1243,223.0,153.0,10.7,87.4,6.04,38.2,69.2,2288.0,34.9,80.6,120.0
1244,33.1,20.9,21.5,84.3,17.2,17.6,27.9,573.0,9.73,24.1,16.4
1245,57.8,7.57,16.3,158.0,21.5,42.6,73.7,1009.0,5.0,12.0,17.6
1246,233.0,286.0,46.6,302.0,47.8,12.2,17.5,679.0,9.82,22.3,73.0
1247,52.3,45.3,10.4,83.5,6.98,14.2,31.3,931.0,7.23,26.4,42.2
1248,43.7,27.6,25.9,22.3,3.59,30.8,44.1,594.0,17.9,54.2,94.7
1249,36.2,19.3,21.3,16.4,1.53,28.9,40.0,890.0,6.32,30.5,17.6
1250,54.7,42.2,20.2,16.5,4.91,45.7,78.4,3652.0,12.9,19.5,29.7
1251,60.4,35.5,14.1,124.0,18.1,1.0,2.71,10.6,40.7,71.0,86.6
1252,59.9,48.7,30.2,209.0,8.06,22.1,41.0,509.0,8.43,21.5,18.1
1253,22.9,26.9,20.2,19.6,5.23,10.3,13.3,255.0,10.1,22.5,19.6
1254,164.0,225.0,18.4,52.8,1.46,50.0,68.5,453.0,2.39,18.4,13.9
1255,44.5,33.7,19.3,35.2,12.0,3.68,21.9,445.0,10.5,16.8,25.3
1256,36.5,22.5,17.2,16.5,7.3,21.5,48.7,604.0,21.9,42.9,44.1
1257,23.9,7.57,20.5,121.0,11.2,35.5,46.6,615.0,34.0,75.7,75.0
1258,49.6,41.4,25.7,11.1,9.06,28.9,57.3,1762.0,5.0,27.1,33.1
1259,143.0,74.3,24.4,51.4,14.7,50.0,82.8,2414.0,50.5,100.0,87.4
1260,35.2,16.3,16.8,20.0,13.9,9.06,34.0,407.0,7.3,29.2,35.2
1261,36.5,22.1,15.8,111.0,24.6,31.1,56.2,685.0,7.37,16.1,2.5
1262,34.3,21.1,14.6,132.0,12.5,9.56,14.9,799.0,6.15,16.5,25.5
1263,20.0,17.6,5.99,6.92,11.2,3.65,10.4,552.0,11.0,22.3,21.5
1264,73.0,50.0,28.9,32.2,18.8,10.2,17.9,319.0,8.43,17.0,42.2
1265,161.0,89.0,19.5,142.0,5.99,18.4,24.6,704.0,4.96,19.5,12.4
1266,31.3,31.3,18.8,17.3,1.86,21.7,49.6,1433.0,14.1,29.2,30.2
1267,27.1,28.4,16.1,20.5,19.1,14.7,25.9,626.0,1.0,46.1,3.08
1268,205.0,137.0,19.1,17.0,8.28,26.9,59.4,956.0,7.7,16.1,28.6
1269,47.4,38.5,24.6,31.3,1.0,57.3,93.9,1911.0,10.8,17.3,18.9
1270,52.8,31.3,44.9,264.0,30.2,12.1,35.9,1263.0,13.9,27.9,21.7
1271,164.0,87.4,22.1,26.4,1.96,12.1,13.9,533.0,12.5,31.9,25.7
1272,55.7,29.4,33.1,626.0,41.4,11.2,23.7,784.0,9.31,15.7,36.2
1273,40.0,44.1,63.8,346.0,71.7,12.7,29.2,578.0,16.7,41.4,53.3
1274,85.8,71.0,19.1,28.1,10.4,31.9,57.3,1582.0,9.22,13.7,34.3
1275,47.4,33.1,65.5,141.0,19.5,33.4,46.1,426.0,13.8,30.2,20.2
1276,37.5,28.1,13.9,34.0,3.92,11.3,21.9,1155.0,9.31,20.7,24.1
1277,26.7,15.0,9.82,154.0,7.04,25.7,39.6,325.0,14.7,29.7,52.8
1278,37.9,29.4,27.4,24.1,1.33,15.4,31.1,547.0,7.64,9.56,20.7
1279,29.4,22.5,45.7,328.0,21.5,94.7,170.0,2167.0,7.17,20.7,30.8
1280,33.1,26.4,21.5,50.9,6.98,117.0,135.0,445.0,49.6,109.0,103.0
1281,38.2,18.1,10.0,20.4,8.58,12.2,31.9,784.0,9.65,28.4,22.7
1282,36.8,24.4,15.7,44.5,5.62,23.7,43.7,1018.0,109.0,281.0,355.0
1283,41.0,31.9,20.0,105.0,16.8,34.0,67.9,1640.0,16.0,36.5,32.2
1284,141.0,76.4,24.8,35.9,3.4,4.53,10.2,922.0,9.22,22.5,25.9
1285,42.9,35.9,14.7,124.0,19.8,30.2,48.7,1104.0,2.97,13.2,18.4
1286,66.7,30.2,1.0,14.3,7.17,40.7,64.4,449.0,1.0,6.21,3.92
1287,28.1,12.4,24.8,22.5,6.1,14.6,40.7,514.0,8.35,20.9,24.1
1288,21.3,22.3,53.3,337.0,67.9,7.37,8.51,334.0,6.79,15.0,13.5
1289,28.6,22.5,10.6,19.1,19.8,60.4,147.0,2548.0,17.3,41.8,67.9
1290,225.0,149.0,9.39,11.3,10.4,24.8,59.9,1640.0,1.0,13.1,17.3
1291,143.0,161.0,26.9,16.1,11.7,8.43,25.9,799.0,23.3,47.8,39.6
1292,32.5,27.6,20.0,56.7,5.47,30.5,45.7,1208.0,27.6,64.9,131.0
1293,40.7,21.5,21.7,50.9,11.3,28.4,42.2,578.0,2.0,17.9,16.0
1294,53.3,47.4,29.2,47.4,13.0,9.39,23.5,1094.0,1.06,119.0,6.92
1295,85.8,46.1,58.3,355.0,62.1,13.0,27.9,466.0,32.8,99.1,59.9
1296,51.9,37.5,53.3,198.0,71.0,9.22,18.1,533.0,19.3,29.4,54.7
1297,67.3,72.3,10.5,119.0,5.19,23.3,41.0,632.0,47.4,131.0,264.0
1298,30.0,30.5,2.62,3.28,1.0,5.09,12.7,710.0,8.13,15.3,13.3
1299,24.1,18.3,17.9,97.3,7.1,63.2,112.0,1911.0,17.6,27.9,35.2
1300,32.2,19.1,14.3,77.0,12.1,17.5,30.2,562.0,18.3,50.0,62.6
1301,36.2,31.6,22.5,41.0,10.1,12.4,27.9,965.0,18.8,57.3,64.4
1302,72.3,53.8,24.8,20.7,3.92,16.3,28.9,1298.0,50.9,84.3,89.8
1303,34.9,25.7,20.4,81.3,2.97,21.5,50.5,1165.0,6.67,30.5,23.5
1304,151.0,80.6,43.3,47.0,15.7,20.0,49.1,704.0,8.74,11.3,15.0
1305,34.0,15.4,16.8,57.8,7.57,35.2,49.6,1762.0,9.31,28.6,27.1
1306,104.0,82.0,12.3,1.19,21.9,17.0,23.3,523.0,14.1,26.4,27.1
1307,88.2,35.9,20.0,131.0,11.4,34.6,55.2,1144.0,15.1,34.3,27.1
1308,107.0,56.2,19.6,195.0,15.3,29.4,46.6,638.0,8.35,21.1,13.9
1309,3.49,4.41,25.9,26.7,2.05,20.0,40.7,828.0,7.99,28.1,27.9
1310,50.5,33.4,51.9,385.0,57.8,16.7,22.9,487.0,4.18,18.1,32.2
1311,79.1,56.2,4.78,66.1,6.32,39.6,79.1,2503.0,25.0,62.1,72.3
1312,51.4,27.4,65.5,418.0,59.4,24.6,41.8,799.0,13.9,33.7,31.1
1313,48.3,33.4,25.0,28.6,6.1,3.92,8.9,158.0,3.28,12.7,19.3
1314,77.0,50.5,18.9,150.0,10.7,29.2,49.1,874.0,8.58,200.0,7.23
1315,41.0,27.6,20.0,16.1,1.31,13.7,42.9,610.0,36.8,77.0,121.0
1316,50.0,25.3,16.7,80.6,8.43,22.1,36.8,583.0,7.57,10.6,23.1
1317,57.3,35.5,62.6,437.0,49.1,4.53,15.1,806.0,47.4,59.4,14.3
1318,34.0,16.0,12.1,289.0,22.7,17.8,20.7,505.0,13.3,29.7,32.5
1319,31.9,23.5,25.3,23.5,3.31,10.7,24.6,851.0,11.9,22.7,7.37
1320,39.6,28.1,18.1,28.9,20.9,19.1,29.7,557.0,18.6,65.5,73.0
1321,88.2,63.8,78.4,337.0,51.4,28.4,44.5,828.0,17.9,52.3,55.2
1322,65.5,42.9,23.3,22.5,12.6,13.5,19.1,441.0,6.1,23.3,34.3
1323,108.0,71.7,16.8,183.0,23.9,16.1,30.0,400.0,13.6,21.5,44.1
