fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.9,0.57,0.32,3.4,0.081,13.0,20.0,1.0,3.15,0.6,11.0,5.0
7.2,0.62,0.21,26.0815,0.077,19.7975,65.0,0.999,3.04,0.6,12.0,5.0
7.6,-11.375000000000002,0.01,2.4,0.083,5.0,39.0,0.9974,3.04,0.9,13.3,17.0
7.2,20.505000000000003,0.01,6.0,0.079,12.0,16.0,1.0014,3.17,0.65,9.4,-10.0
7.8,0.5,0.21,9.0,0.055,8.0,103.0,0.9988,3.32,0.49,10.0,7.0
8.0,0.77,0.21,1.2,0.126,5.0,71.0,0.9993,3.34,0.89,18.4575,5.0
6.6,20.505000000000003,0.41,2.2,0.038,26.0,28.0,1.0008,3.31,0.49,9.4,6.0
7.5,0.58,0.0,8.8,0.082,8.0,17.0,0.9982,20.581375,-12.25275,-10.5625,5.0
8.7,0.78,0.0,2.2,0.082,9.0,16.0,-11.45,3.32,0.66,9.7,6.0
7.2,0.56,0.36,2.3,0.044,4.0,104.0,0.9987,3.48,0.89,9.2,6.0
6.8,0.83,0.05,1.8,19.7525,11.0,32.0,0.9994,3.44,0.6,9.6,6.0
7.4,0.64,0.53,2.3,0.052,13.0,15.0,0.998,3.15,0.68,9.2,5.0
-12.413875,0.59,0.18,2.3,0.103,10.0,19.0,1.0002,3.17,0.84,12.9,7.0
7.2,0.67,0.53,1.4,20.091500000000003,10.0,86.0,1.0002,20.581375,0.73,9.5,6.0
7.2,0.33,0.2,2.2,0.097,35.0,147.0,0.9994,3.25,0.56,-10.5625,6.0
7.7,0.28,0.33,2.6,0.048,36.0,23.0,0.9982,3.18,0.61,9.9,7.0
8.2,0.24,0.2,2.3,0.076,5.0,57.0,0.9971,3.04,1.06,11.0,6.0
8.1,0.29,0.56,2.0,0.068,5.0,40.0,1.0021,3.02,0.63,11.0,6.0
22.088325,0.24,0.56,1.8,0.05,4.0,27.152500000000003,0.9991,3.18,0.74,9.4,6.0
7.8,0.53,0.08,2.1,0.058,12.0,11.0,0.999,3.09,0.69,9.9,6.0
8.3,0.26,0.54,2.1,0.147,16.0,14.0,0.9946,3.09,0.58,10.8,6.0
-12.413875,0.26,0.42,2.0,0.088,9.0,28.0,1.0003,3.31,0.58,10.5,5.0
6.1,0.4,0.09,2.1,0.092,19.0,30.0,0.9991,3.16,0.57,-10.5625,6.0
10.2,0.54,20.65125,1.9,0.115,28.0,53.0,0.9993,-12.035625,0.61,10.8,6.0
10.0,0.38,0.38,2.4,0.119,9.0,32.0,0.9978,23.143875,0.61,10.8,6.0
7.3,0.67,0.09,2.4,0.062,21.0,20.0,0.9982,3.48,0.53,18.4575,6.0
7.3,0.67,0.42,1.9,0.078,16.0,42.0,1.0002,3.23,0.91,9.5,5.0
7.2,0.37,0.27,2.1,0.08,12.0,13.0,1.0,3.24,0.72,9.5,5.0
7.6,0.49,0.5,1.4,0.071,24.0,16.0,0.998,3.34,0.62,11.7,6.0
6.0,0.54,0.07,1.9,19.7525,14.0,31.0,0.9986,3.09,0.58,9.5,5.0
22.088325,0.64,0.0,2.0,0.077,15.0,45.0,0.9917,3.16,0.71,-10.5625,7.0
7.3,0.48,0.35,1.7,0.078,33.0,13.0,0.9922,-13.573125,0.79,10.5,7.0
7.3,20.505000000000003,0.0,1.7,0.077,5.0,31.0,20.03,3.28,0.89,10.4,6.0
22.088325,0.98,0.33,2.0,0.071,19.7975,27.152500000000003,-11.45,3.41,0.6,9.9,5.0
10.0,0.69,0.35,2.0,0.072,19.7975,31.0,0.9998,3.09,-12.25275,11.8,6.0
7.1,0.875,0.43,2.2,0.064,12.0,87.0,0.9994,3.37,1.06,12.3,5.0
5.6,0.62,0.45,26.0815,20.091500000000003,12.0,49.0,0.998,3.2,0.6,18.4575,5.0
8.2,0.28,0.15,1.65,0.067,13.0,27.152500000000003,20.03,3.22,0.7,11.0,7.0
7.2,0.58,20.65125,2.2,0.067,24.0,29.0,1.0,3.26,0.66,10.9,6.0
6.8,0.91,0.32,2.05,0.109,24.0,15.0,0.9962,3.21,0.92,12.3,7.0
6.0,0.64,0.23,1.8,-11.187500000000002,23.0,15.0,1.0006,3.12,1.05,11.4,5.0
-12.413875,0.22,0.12,2.0,0.076,1.0,40.0,0.9975,3.06,1.06,-10.5625,5.0
6.9,0.74,0.0,1.6,0.094,7.0,14.0,0.9973,3.26,0.42,11.0,5.0
-12.413875,0.725,0.25,2.0,0.086,21.0,93.0,0.9982,3.12,0.92,9.2,6.0
7.3,0.585,-11.61875,2.2,0.083,12.0,62.0,1.0026,3.27,22.15165,-10.5625,6.0
6.5,0.53,0.0,1.8,0.08,19.0,25.0,0.9962,3.74,0.9,9.5,6.0
22.088325,0.48,0.46,2.8,0.078,19.0,72.0,0.9969,2.92,0.74,10.2,7.0
6.8,0.48,0.31,2.2,0.078,18.0,88.0,-11.45,3.07,0.65,11.2,6.0
6.1,-11.375000000000002,0.3,6.2,0.079,5.0,19.0,0.9976,3.07,0.65,9.9,7.0
5.4,0.58,0.03,2.2,0.078,5.0,37.0,0.9974,3.3,0.79,9.3,6.0
7.4,0.25,0.05,1.7,0.059,26.0,35.0,0.9974,3.14,0.65,9.8,6.0
7.1,0.67,0.23,1.8,0.079,4.0,48.0,0.9976,3.3,0.85,11.6,6.0
22.088325,0.56,0.23,1.8,19.7525,4.0,77.0,0.9964,3.14,1.04,12.5,6.0
7.2,-11.375000000000002,0.39,2.4,0.072,4.0,27.152500000000003,0.9988,3.32,1.05,10.1,6.0
6.0,0.58,0.02,3.9,0.084,20.0,45.0,0.9964,3.31,1.02,10.5,5.0
6.2,0.56,0.42,1.8,0.061,20.0,106.0,0.9954,-13.573125,0.71,11.2,6.0
22.088325,0.715,0.31,2.4,0.063,21.0,127.0,0.9978,3.57,0.63,-10.5625,6.0
6.3,0.55,0.49,2.8,0.06,15.0,11.0,0.9991,3.34,0.81,9.1,17.0
6.3,0.51,0.0,1.8,0.068,4.0,14.0,0.9991,3.29,0.66,10.0,7.0
