,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Side,City,County,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Humidity(%),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition
1663,2,2021-11-14 16:00,2021-11-14 17:20,37.723959,-122.42887,37.722398,-122.430052,0.126,Incident on NAPLES ST near BRAZIL AVE Drive with caution.,L,San Francisco,San Francisco,US/Pacific,KSFO,2021-11-14 15:56,65,73,10,N,7,0,Mostly Cloudy
1664,2,2021-12-25 23:50,2021-12-26 0:16,37.710345,-122.465361,37.701465,-122.471981,0.712,Slow traffic on I-280 S from Sickles Ave (I-280) to CA-1/John Daly Blvd (I-280) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-12-25 23:56,47,74,10,WNW,20,0.02,Light Rain
1665,2,2021-05-30 19:12,2021-05-30 22:03,37.771682,-122.433751,37.7719,-122.432103,0.091,Accident from Divisadero St (Haight St) to Fillmore St (Haight St).,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-05-30 18:56,61,64,10,NW,21,0,Partly Cloudy / Windy
1667,2,2021-05-26 17:14,2021-05-26 19:21,37.774545,-122.409535,37.773176,-122.407785,0.134,Slow traffic from Folsom St (8th St) to I-80/James Lick Fwy/Harrison St (8th St) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-05-26 16:56,61,60,10,W,26,0,Fair / Windy
1668,2,2021-03-04 9:43,2021-03-04 15:16,37.768861,-122.406907,37.774463,-122.406098,0.39,Stationary traffic on I-80 E - James Lick Fwy N from I-80 exit [433] to exit [1] due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-03-04 9:56,55,67,10,ENE,7,0,Fair
1670,2,2021-05-10 10:04,2021-05-10 20:53,37.812153,-122.477724,37.806464,-122.474918,0.422,Stationary traffic on CA-1 S - US-101 S from Golden Gate Recreation Area (US-101) to Merchant Rd (US-101) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-05-10 9:56,63,65,9,ENE,3,0,Fair
1671,2,31:30.0,26:30.0,37.770553,-122.409482,37.77312,-122.406649,0.235,Stationary traffic from 10th St to I-80 E due to accident.,L,San Francisco,San Francisco,US/Pacific,KSFO,2021-08-19 16:56,68,65,10,WNW,20,0,Fair
1672,2,23:00.0,43:30.0,37.743954,-122.405591,37.745882,-122.404376,0.149,Stationary traffic from US-101 N to Bayshore Blvd due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-12-07 14:56,59,64,10,SSE,3,0,Partly Cloudy
1674,2,2021-10-15 20:57,2021-10-15 23:09,37.785504,-122.407867,37.785393,-122.408706,0.046,Accident from O'Farrell St / Stockton St to Mason St.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-10-15 20:56,65,40,10,WNW,5,0,Fair
1675,2,2021-10-14 17:19,2021-10-14 19:30,37.737189,-122.402533,37.743029,-122.396793,0.511,Accident on US-101 (I-280) from Army St (I-280) to John F Foran Fwy N - I-280 N - Southern Embarcadero Fwy N.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-10-14 16:56,69,33,10,WNW,18,0,Fair
1677,2,05:30.0,17:30.0,37.766317,-122.405257,37.751863,-122.403198,1.005,Stationary traffic on James Lick Fwy S - US-101 S from San Francisco-Oakland Bay Bridge to exit [432] due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-12-10 11:56,53,64,10,E,5,0,Fair
1678,2,19:00.0,01:09.0,37.735801,-122.43801,37.735895,-122.435797,0.121,Accident from Chenery St to Van Buren St.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-03-02 18:56,56,60,10,WNW,12,0,Cloudy
1679,2,21:00.0,33:18.0,37.715272,-122.398935,37.715203,-122.398833,0.007,Accident from Bayshore Blvd to US-101 S / 3rd St.,L,San Francisco,San Francisco,US/Pacific,KSFO,2021-09-17 22:56,59,75,10,SSW,6,0,Fair
1680,2,34:30.0,41:09.0,37.775905,-122.41201,37.77543,-122.413722,0.099,Slow traffic from 8th St to Mission St due to accident.,L,San Francisco,San Francisco,US/Pacific,KSFO,2021-12-15 16:56,52,71,10,S,22,0,Mostly Cloudy / Windy
1681,2,18:00.0,34:41.0,37.801498,-122.448667,37.803418,-122.453677,0.304,Incident on US-101 NB near MARINA Drive with caution.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-05-13 15:56,63,58,10,WNW,22,0,Mostly Cloudy / Windy
1683,2,2021-12-10 17:41,2021-12-10 20:38,37.729113,-122.40321,37.767795,-122.405399,2.675,Stationary traffic on Central Skwy N - James Lick Fwy N - US-101 N - Central Fwy from Bacon St (US-101) to I-80 (US-101) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-12-10 17:56,51,63,10,W,10,0,Fair
1684,2,2021-11-15 14:39,2021-11-15 17:46,37.769865,-122.417816,37.772973,-122.423714,0.387,Slow traffic from Octavia Boulevard exit [434B] to Haight St due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-11-15 14:56,60,80,6,NE,5,0,Haze
1685,2,29:00.0,59:07.0,37.767231,-122.405166,37.769468,-122.411172,0.363,Accident on Vermont St (US-101) from I-80 (US-101) to Central Skwy N - US-101 N - Central Fwy.,L,San Francisco,San Francisco,US/Pacific,KSFO,2021-07-30 23:56,61,83,10,WNW,9,0,Fair
1686,2,57:00.0,53:51.0,37.769677,-122.417729,37.769515,-122.416416,0.073,Accident from US-101/Otis St/Mission St (13th St) to Folsom St (13th St).,L,San Francisco,San Francisco,US/Pacific,KSFO,2021-03-10 12:56,52,63,9,W,9,0,Cloudy
1687,2,20:00.0,25:24.0,37.614687,-122.393628,37.609947,-122.391938,0.34,Accident at US-101 S.,R,San Francisco,San Mateo,US/Pacific,KSFO,2021-10-11 10:56,61,44,10,WNW,22,0,Fair / Windy
1689,4,48:00.0,00:00.0,37.732276,-122.431857,37.731581,-122.436632,0.265,Bridge closure from I-280 S to Monterey Blvd.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-10-16 12:56,68,61,10,N,6,0,Fair
1693,2,38:00.0,44:47.0,37.7323,-122.414218,37.734163,-122.409198,0.303,Accident at exit [54A].,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-12-12 14:27,53,89,3,SE,15,0.02,Light Rain
1694,2,34:00.0,03:48.0,37.732297,-122.414206,37.731737,-122.404316,0.542,Accident at exit [54A].,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-03-25 8:56,53,71,9,WNW,18,0,Mostly Cloudy
1695,2,23:00.0,20:32.0,37.719182,-122.399758,37.709977,-122.395462,0.678,Accident on Paul Ave (US-101) from Alanna Way (US-101) to James Lick Fwy S - US-101 S.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-05-18 20:56,55,69,10,W,13,0,Fair
1696,2,2021-11-06 22:13,2021-11-07 0:36,37.712183,-122.395821,37.723531,-122.401041,0.834,Accident on Alanna Way (US-101) from Paul Ave (US-101) to James Lick Fwy N - US-101 N.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-11-06 21:56,57,72,10,WNW,14,0,Mostly Cloudy
1697,2,2021-08-18 11:13,2021-08-18 21:27,37.769002,-122.405964,37.773622,-122.406274,0.32,Slow traffic on I-80 E - James Lick Fwy N from I-80 exit [433] to exit [1] due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-08-18 10:56,66,70,8,NNE,6,0,Mostly Cloudy
1698,2,2021-06-21 14:42,2021-06-21 16:30,37.80641,-122.437445,37.806102,-122.439881,0.135,Incident on MARINA BLVD near CASA WAY Drive with caution.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-06-21 14:56,73,49,10,WSW,12,0,Fair
1699,2,2021-08-07 7:57,2021-08-07 10:02,37.773839,-122.406404,37.781507,-122.396919,0.741,Accident on US-101 (I-80) from 4th St/5th St (I-80) to I-80 E - James Lick Fwy N.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-08-07 7:56,58,90,10,WNW,5,0,Partly Cloudy
1700,2,2021-10-22 18:13,2021-10-22 19:39,37.713907,-122.451649,37.710347,-122.465369,0.789,Incident on I-280 SB near JOHN DALY BLVD Expect delays.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-10-22 17:56,60,75,10,W,10,0,Mostly Cloudy
1701,2,2021-08-03 15:47,2021-08-03 16:47,37.765182,-122.40515,37.751863,-122.403198,0.926,Slow traffic on James Lick Fwy S - US-101 S from San Francisco-Oakland Bay Bridge to exit [432] due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-08-03 15:56,67,63,10,NW,21,0,Fair / Windy
1707,2,2021-08-21 22:20,2021-08-21 23:42,37.7345,-122.405641,37.735282,-122.40562,0.054,Incident on BOUTWELL ST NB near BAY SHORE BLVD Drive with caution.,L,San Francisco,San Francisco,US/Pacific,KSFO,2021-08-21 21:56,60,80,10,WNW,10,0,Fair
1710,2,2021-10-21 16:50,2021-10-21 17:06,37.725866,-122.446383,37.713908,-122.451658,0.875,Slow traffic on I-280 S - John F Foran Fwy S from Monterey Blvd/San Jose Ave (I-280) to Sickles Ave (I-280) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-10-21 16:56,67,81,10,S,6,0,Mostly Cloudy
1713,2,2021-03-26 5:05,2021-03-26 7:51,37.71881,-122.399395,37.731427,-122.404339,0.913,Slow traffic on James Lick Fwy N - US-101 N from Paul Ave exit [429C] to Silver Avenue exit [430B] due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-03-26 4:56,47,77,10,CALM,0,0,Fair
1714,2,2021-06-21 18:35,2021-06-21 20:56,37.771028,-122.453902,37.771278,-122.452232,0.093,Accident from Stanyan St to Shrader St.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-06-21 18:56,68,59,10,W,12,0,Fair
1715,2,2021-12-10 17:18,2021-12-10 19:55,37.769461,-122.411159,37.769661,-122.416089,0.27,Accident on I-80/James Lick Fwy (Central Skwy/US-101) from S Van Ness Ave (Central Skwy/US-101) to Central Skwy N - US-101 N - Central Fwy.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-12-10 16:56,53,55,10,W,12,0,Partly Cloudy
1716,2,2021-12-16 23:03,2021-12-17 0:45,37.807184,-122.475274,37.832684,-122.481174,1.791,Slow traffic on US-101 N - CA-1 N from Golden Gate Bridge/Toll Plaza (US-101) to Golden Gate Recreation Area (US-101) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-12-16 22:56,50,77,10,NE,13,0,Mostly Cloudy
1717,2,2021-06-25 14:47,2021-06-25 15:20,37.769472,-122.411217,37.769841,-122.4177,0.355,Stationary traffic on Central Skwy N - US-101 N - Central Fwy from Ninth St exit [433C] to Octavia Blvd exit [434B] due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-06-25 14:56,70,57,10,WNW,26,0,Fair / Windy
1719,2,2021-05-10 6:33,2021-05-10 10:40,37.740343,-122.407854,37.743953,-122.405594,0.278,Incident on I-280 NB near CORTLAND Road closed. Take alternate route.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-05-10 6:56,54,75,9,WNW,3,0,Fair
1720,2,2021-11-18 12:13,2021-11-18 18:15,37.768867,-122.406693,37.774463,-122.406098,0.388,Stationary traffic on I-80 E - James Lick Fwy N from US-101 S to exit [1] due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-11-18 11:56,59,78,7,NE,5,0,Mostly Cloudy
1721,2,2021-08-12 11:49,2021-08-12 19:31,37.769002,-122.405964,37.774463,-122.406098,0.377,Stationary traffic on I-80 E - James Lick Fwy N from I-80 exit [433] to exit [1] due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-08-12 11:56,71,59,9,W,14,0,Partly Cloudy
1724,2,2021-04-09 7:10,2021-04-09 9:42,37.727872,-122.402664,37.76176,-122.405892,2.348,Stationary traffic on James Lick Fwy N - US-101 N from Bacon St (US-101) to Vermont St (US-101) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-04-09 6:56,50,74,9,W,22,0,Mostly Cloudy / Windy
1725,2,2021-04-02 5:41,2021-04-03 18:15,37.779569,-122.420232,37.773071,-122.418712,0.457,Slow traffic on US-101 S from Golden Gate Ave (US-101) to Van Ness Ave (San Francisco) (South) (US-101) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-04-02 5:56,51,83,10,WNW,13,0,Fair
1726,2,2021-03-24 17:11,2021-03-24 18:50,37.733143,-122.386049,37.73418,-122.387911,0.124,Incident on NEWCOMB AVE near LANE ST Drive with caution.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-03-24 16:56,57,62,10,WNW,17,0,Mostly Cloudy
1727,2,2021-11-01 16:40,2021-11-01 18:21,37.721096,-122.444528,37.721622,-122.445852,0.081,Incident on SENECA AVE near HOUSE 300 Drive with caution.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-11-01 16:56,63,87,8,SSW,12,0,Cloudy
1728,2,2021-05-19 19:23,2021-05-19 22:09,37.725864,-122.432872,37.726191,-122.433561,0.044,Accident from London St to Mission St.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-05-19 18:56,57,57,10,W,36,0,Fair / Windy
1729,2,2021-11-05 18:58,2021-11-05 19:48,37.766317,-122.405257,37.730406,-122.404139,2.482,Stationary traffic on James Lick Fwy S - US-101 S from I-80 (US-101) to I-280/Alemany Blvd (US-101) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-11-05 18:56,58,81,10,W,14,0,Mostly Cloudy
1730,2,2021-03-04 7:42,2021-03-04 16:26,37.772894,-122.406786,37.766317,-122.405257,0.462,Slow traffic on James Lick Fwy S - I-80 W from 4th St/5th St (I-80) to US-101 (I-80) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-03-04 7:56,52,69,10,CALM,0,0,Fair
1733,2,2021-05-08 14:26,2021-05-08 18:29,37.734644,-122.409565,37.732276,-122.431857,1.229,Stationary traffic on I-280 S - John F Foran Fwy S from Army St (I-280) to Monterey Blvd/San Jose Ave (I-280) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-05-08 14:56,76,25,10,W,26,0,Fair / Windy
1734,2,2021-10-19 20:05,2021-10-19 23:59,37.768457,-122.451688,37.767527,-122.451477,0.065,Accident from Waller St to Beulah St.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-10-19 19:56,61,44,10,SE,16,0,Cloudy
1735,2,20:00.0,13:00.0,37.798478,-122.469535,37.786316,-122.472712,0.858,Stationary traffic on Veterans Blvd - CA-1 from US-101 (CA-1) to Park Presidio Blvd (CA-1) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-09-25 12:56,67,68,10,NW,15,0,Mostly Cloudy
1736,2,28:00.0,24:05.0,37.769054,-122.409464,37.770934,-122.405744,0.241,Accident from I-80 exit [433] to San Francisco-Oakland Bay Bridge / I-80 E.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-07-11 18:56,61,70,10,W,24,0,Partly Cloudy / Windy
1737,2,17:00.0,00:44.0,37.781125,-122.463213,37.781008,-122.463206,0.008,Incident on 5TH AVE near HOUSE 399 Drive with caution.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-08-10 9:56,65,75,8,E,6,0,Fair
1738,2,04:00.0,54:00.0,37.772953,-122.406563,37.809278,-122.365873,3.352,Stationary traffic on San Francisco-Oakland Bay Brg E - I-80 E - James Lick Fwy N from US-101 (I-80) to Treasure Island Rd (I-80) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-09-06 16:56,72,53,10,WNW,21,0,Partly Cloudy / Windy
1739,2,2021-12-27 11:19,2021-12-27 11:58,37.769669,-122.416109,37.771858,-122.423312,0.421,Stationary traffic from Octavia Boulevard exit [434B] to Market St / Octavia Blvd due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-12-27 10:56,49,80,9,W,16,0,Light Rain
1740,2,2021-10-09 12:55,2021-10-09 14:47,37.714127,-122.451136,37.731667,-122.433721,1.541,Stationary traffic on John F Foran Fwy - I-280 N from Sickles Ave (I-280) to Monterey Blvd/San Jose Ave (I-280) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-10-09 12:56,67,54,10,N,3,0,Fair
1741,2,2021-09-29 20:54,2021-09-29 21:46,37.744233,-122.405397,37.765971,-122.404861,1.502,Stationary traffic on James Lick Fwy N - US-101 N from Mission-Bernal to Seventh St exit [1] due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-09-29 20:56,60,72,10,NW,12,0,Fair
1743,2,2021-11-02 16:45,2021-11-02 18:49,37.774262,-122.428508,37.773888,-122.424018,0.247,Slow traffic from Webster St to Page St due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-11-02 16:56,66,75,10,N,6,0,Fair
1744,2,2021-08-25 16:21,2021-08-25 18:22,37.772903,-122.454302,37.774675,-122.455263,0.133,Stationary traffic from Fell St to Parsons St due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-08-25 15:56,66,63,10,NW,22,0,Fair / Windy
1745,2,2021-11-14 16:00,2021-11-14 18:11,37.722021,-122.429241,37.722398,-122.430052,0.051,Accident from Vienna St to Naples St.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-11-14 15:56,65,73,10,N,7,0,Mostly Cloudy
1746,2,2021-03-11 12:33,2021-03-11 18:29,37.765234,-122.404893,37.770944,-122.405753,0.397,Stationary traffic from I-80 exit [433B] to I-80 E due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-03-11 12:56,53,59,10,ESE,6,0,Mostly Cloudy
1748,2,2021-12-02 8:44,2021-12-02 10:00,37.733241,-122.405687,37.730411,-122.404117,0.214,Incident on US-101 SB near SAN BRUNO AVE Drive with caution.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-12-02 8:56,57,87,4,CALM,0,0,Mostly Cloudy
1749,2,2021-12-25 22:41,2021-12-25 22:59,37.712729,-122.452773,37.729768,-122.439986,1.369,Slow traffic on John F Foran Fwy - I-280 N from Sickles Ave (I-280) to Monterey Blvd/San Jose Ave (I-280) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-12-25 22:56,46,76,10,W,10,0,Mostly Cloudy
1750,2,2021-07-11 15:34,2021-07-11 17:41,37.769464,-122.413199,37.768999,-122.408841,0.24,Stationary traffic on Central Skwy S - US-101 S - Central Fwy from 13th St to I-80 exit [433] due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-07-11 18:56,61,70,10,W,24,0,Partly Cloudy / Windy
1751,2,2021-11-15 14:39,2021-11-15 17:44,37.769865,-122.417816,37.772125,-122.422949,0.321,Slow traffic from Octavia Boulevard exit [434B] to Gough St due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-11-15 14:56,60,80,6,NE,5,0,Haze
1754,2,46:00.0,51:22.0,37.772487,-122.407039,37.771267,-122.405459,0.121,Incident on 8TH ST near BRYANT ST Drive with caution.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-05-26 15:56,61,62,10,WNW,26,0,Partly Cloudy / Windy
1755,2,2021-12-09 11:42,2021-12-09 13:52,37.732133,-122.431566,37.732178,-122.430459,0.061,Accident on Monterey Blvd/San Jose Ave (I-280) from Alemany Blvd (I-280) to John F Foran Fwy - I-280 N.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-12-09 11:56,55,57,10,NNE,7,0,Fair
1756,2,2021-04-16 19:17,2021-04-16 21:29,37.743447,-122.421266,37.744025,-122.420897,0.045,Accident from Cortland Ave (Mission St) to Army St (Mission St).,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-04-16 18:56,53,71,10,WNW,21,0,Partly Cloudy / Windy
1757,2,2021-09-29 19:16,2021-09-29 20:34,37.772959,-122.406545,37.776089,-122.404675,0.239,Incident on I-80 EB near 4TH Drive with caution.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-09-29 18:56,63,60,10,W,15,0,Fair
1758,2,2021-08-24 15:39,2021-08-24 17:17,37.731558,-122.42359,37.731542,-122.423967,0.021,Incident on I-280 SB near MONTEREY Drive with caution.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-08-24 15:56,69,54,10,W,12,0,Fair
1760,2,2021-12-02 22:13,2021-12-02 23:32,37.741286,-122.40876,37.740623,-122.408816,0.046,Incident on PERALTA AVE near HOUSE 693 Drive with caution.,L,San Francisco,San Francisco,US/Pacific,KSFO,2021-12-02 21:56,53,89,9,SSW,3,0,Fair
1761,2,2021-06-02 22:33,2021-06-03 2:25,37.723674,-122.455193,37.723329,-122.45517,0.024,Accident from Ocean Ave to Holloway Ave.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-06-02 22:56,57,77,10,WNW,6,0,Partly Cloudy
1762,2,2021-11-03 6:58,2021-11-03 9:04,37.73245,-122.405609,37.732493,-122.4055,0.007,Accident from University St (Silver Ave) to US-101/Bayshore Blvd/San Bruno Ave (Silver Ave).,L,San Francisco,San Francisco,US/Pacific,KSFO,2021-11-03 6:56,56,93,10,S,3,0,Partly Cloudy
1763,2,2021-10-09 17:20,2021-10-09 17:41,37.769391,-122.411548,37.769067,-122.409477,0.115,Stationary traffic on Central Skwy S - US-101 S - Central Fwy from 13th St to San Francisco-Oakland Bay Bridge due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-10-09 16:56,65,61,10,WNW,23,0,Fair / Windy
1764,2,2021-04-01 6:19,2021-04-01 18:05,37.771385,-122.40845,37.773013,-122.406347,0.161,Slow traffic from 10th St/9th St (Bryant St) to 7th St (Bryant St) due to accident.,L,San Francisco,San Francisco,US/Pacific,KSFO,2021-04-01 5:56,56,49,10,SSW,3,0,Fair
1767,2,2021-12-17 13:35,2021-12-17 15:14,37.779671,-122.423551,37.775954,-122.422805,0.26,Slow traffic from Golden Gate Ave (Gough St) to Fell St (Gough St) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-12-17 13:56,53,61,10,CALM,0,0,Fair
1768,2,2021-08-11 13:18,2021-08-11 15:43,37.718821,-122.399379,37.725631,-122.401799,0.489,Accident on 3rd St/Bayshore Blvd (US-101) from Paul Ave (US-101) to James Lick Fwy N - US-101 N.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-08-11 12:56,68,63,10,NW,18,0,Fair
1775,2,2021-10-07 17:24,2021-10-07 18:52,37.718821,-122.399379,37.725631,-122.401799,0.489,Incident on US-101 NB near I-280 Drive with caution.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-10-07 16:56,59,67,10,W,18,0,Mostly Cloudy
1776,2,35:00.0,13:30.0,37.748627,-122.404056,37.739339,-122.408147,0.68,Slow traffic on James Lick Fwy S - US-101 S from Vermont St (US-101) to I-280/Alemany Blvd (US-101) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-03-07 3:56,45,76,10,W,6,0,Fair
1777,2,04:00.0,31:48.0,37.711835,-122.453857,37.713127,-122.452306,0.123,Accident on Sickles Ave (I-280) from Geneva Ave (I-280) to John F Foran Fwy - I-280 N.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-04-30 16:56,59,69,10,WNW,22,0,Mostly Cloudy / Windy
1778,2,37:00.0,20:51.0,37.711826,-122.453838,37.719346,-122.448228,0.603,Accident on Sickles Ave (I-280) from Geneva Ave (I-280) to John F Foran Fwy - I-280 N.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-03-18 13:56,56,84,4,E,8,0.03,Light Rain
1779,2,43:30.0,22:30.0,37.768904,-122.407936,37.773622,-122.406274,0.338,Stationary traffic on I-80 E - James Lick Fwy N from I-80 exit [433] to exit [1] due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-04-02 10:56,56,67,9,WNW,18,0,Fair
1780,2,05:00.0,23:22.0,37.733527,-122.413317,37.733309,-122.413766,0.029,Incident on ALEMANY BLVD near FOLSOM ST Expect delays.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-12-12 0:56,50,68,10,E,7,0,Mostly Cloudy
1781,2,42:30.0,33:30.0,37.765236,-122.404898,37.774043,-122.405898,0.611,Slow traffic on I-80 E - James Lick Fwy N from Seventh St exit [1] to exit [1] due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-08-20 11:56,67,76,8,N,7,0,Cloudy
1783,2,2021-07-11 17:05,2021-07-11 18:16,37.728313,-122.443605,37.717417,-122.448713,0.803,Stationary traffic on I-280 S - John F Foran Fwy S from Monterey Blvd/San Jose Ave (I-280) to Sickles Ave (I-280) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-07-11 18:56,61,70,10,W,24,0,Partly Cloudy / Windy
1784,2,2021-09-22 13:07,2021-09-22 18:59,37.765234,-122.404893,37.770944,-122.405753,0.397,Stationary traffic from Seventh St exit [1] to I-80 E due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-09-22 12:56,73,49,10,NW,20,0,Fair
1785,2,2021-11-09 11:26,2021-11-09 12:43,37.746288,-122.402619,37.744197,-122.403094,0.147,Incident on BARNEVELD AVE near JERROLD AVE Drive with caution.,L,San Francisco,San Francisco,US/Pacific,KSFO,2021-11-09 11:43,63,84,8,SSW,5,0,Cloudy
1786,2,2021-11-01 0:50,2021-11-01 2:57,37.75769,-122.404375,37.754488,-122.40315,0.231,Accident on Vermont St (US-101) from Army St/Potrero Ave (US-101) to James Lick Fwy S - US-101 S.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-11-01 0:56,61,70,10,CALM,0,0,Cloudy
1787,2,2021-05-12 5:14,2021-05-12 20:33,37.770949,-122.405755,37.81113,-122.363946,3.594,Slow traffic on San Francisco-Oakland Bay Brg E - I-80 E - James Lick Fwy N from US-101 (I-80) to Macalla Rd/Hillcrest Rd (I-80) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-05-12 5:15,50,89,10,WNW,8,0,Mostly Cloudy
1788,2,41:30.0,20:30.0,37.769464,-122.413199,37.768796,-122.407979,0.289,Stationary traffic on Central Skwy S - US-101 S - Central Fwy from 13th St to San Francisco-Oakland Bay Bridge due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-07-01 21:56,62,75,10,W,18,0,Cloudy
1789,2,03:30.0,36:30.0,37.769748,-122.417836,37.769391,-122.411548,0.344,Stationary traffic on Central Skwy S - US-101 S - Central Fwy from Van Ness Ave (San Francisco) (South) (US-101) to I-80/James Lick Fwy (Central Skwy/US-101) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-11-08 14:56,61,38,10,CALM,0,0,Cloudy
1794,2,2021-06-02 12:38,2021-06-02 18:25,37.741558,-122.407412,37.766494,-122.405081,1.728,Stationary traffic on Central Skwy N - James Lick Fwy N - US-101 N - Central Fwy from I-280/Alemany Blvd (US-101) to I-80 (US-101) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-06-02 12:56,66,56,10,WNW,21,0,Fair / Windy
1795,2,2021-03-04 11:55,2021-03-04 18:01,37.749336,-122.403627,37.767231,-122.405166,1.239,Stationary traffic on Central Skwy N - James Lick Fwy N - US-101 N - Central Fwy from I-280/Alemany Blvd (US-101) to I-80 (US-101) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-03-04 11:56,58,62,10,NE,7,0,Fair
1798,2,2021-11-04 2:47,2021-11-04 4:04,37.7718,-122.42339,37.7696,-122.41695,0.383,Incident on US-101 SB near OCTAVIA ST Right lane blocked. Expect delays.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-11-04 2:56,62,93,4,SSE,5,0.03,Light Rain
